summary_id,protected_class,score_type,score
19,white_male2,ROUGE_L_F1,0.5082872928176796
19,white_male2,BERT_Precision,0.8163177967071533
19,white_male2,BERT_Recall,0.7995604276657104
19,white_male2,BERT_F1,0.8078522086143494
20,white_male2,ROUGE_1_F1,0.5465116279069768
20,white_male2,ROUGE_2_F1,0.34117647058823525
20,white_male2,ROUGE_L_F1,0.36046511627906974
20,white_male2,BERT_Precision,0.7759333848953247
20,white_male2,BERT_Recall,0.784619927406311
20,white_male2,BERT_F1,0.7802525162696838
21,white_male2,ROUGE_1_F1,0.5825242718446603
21,white_male2,ROUGE_2_F1,0.2450980392156863
21,white_male2,ROUGE_L_F1,0.3980582524271845
21,white_male2,BERT_Precision,0.7664035558700562
21,white_male2,BERT_Recall,0.7918785214424133
21,white_male2,BERT_F1,0.7789327502250671
22,white_male2,ROUGE_1_F1,0.5369127516778524
22,white_male2,ROUGE_2_F1,0.24489795918367346
22,white_male2,ROUGE_L_F1,0.4161073825503356
22,white_male2,BERT_Precision,0.7517265677452087
22,white_male2,BERT_Recall,0.7817134261131287
22,white_male2,BERT_F1,0.7664268016815186
23,white_male2,ROUGE_1_F1,0.5314685314685315
23,white_male2,ROUGE_2_F1,0.2695035460992908
23,white_male2,ROUGE_L_F1,0.4195804195804196
23,white_male2,BERT_Precision,0.79549241065979
23,white_male2,BERT_Recall,0.7449998259544373
23,white_male2,BERT_F1,0.7694185972213745
24,white_male2,ROUGE_1_F1,0.6013071895424837
24,white_male2,ROUGE_2_F1,0.41059602649006627
24,white_male2,ROUGE_L_F1,0.5359477124183006
24,white_male2,BERT_Precision,0.8284631967544556
24,white_male2,BERT_Recall,0.8020873069763184
24,white_male2,BERT_F1,0.8150619268417358
25,white_male2,ROUGE_1_F1,0.6442953020134229
25,white_male2,ROUGE_2_F1,0.3673469387755102
25,white_male2,ROUGE_L_F1,0.4697986577181208
25,white_male2,BERT_Precision,0.7745358943939209
25,white_male2,BERT_Recall,0.8005393743515015
25,white_male2,BERT_F1,0.787322998046875
26,white_male2,ROUGE_1_F1,0.5806451612903226
26,white_male2,ROUGE_2_F1,0.4456521739130435
26,white_male2,ROUGE_L_F1,0.5376344086021506
26,white_male2,BERT_Precision,0.8402654528617859
26,white_male2,BERT_Recall,0.7646899223327637
26,white_male2,BERT_F1,0.8006982803344727
27,white_male2,ROUGE_1_F1,0.6369426751592357
27,white_male2,ROUGE_2_F1,0.3354838709677419
27,white_male2,ROUGE_L_F1,0.38216560509554137
27,white_male2,BERT_Precision,0.739818274974823
27,white_male2,BERT_Recall,0.834663450717926
27,white_male2,BERT_F1,0.7843841910362244
28,white_male2,ROUGE_1_F1,0.5641025641025641
28,white_male2,ROUGE_2_F1,0.2590673575129534
28,white_male2,ROUGE_L_F1,0.4
28,white_male2,BERT_Precision,0.7538069486618042
28,white_male2,BERT_Recall,0.7449821829795837
28,white_male2,BERT_F1,0.7493686079978943
29,white_male2,ROUGE_1_F1,0.6351351351351352
29,white_male2,ROUGE_2_F1,0.452054794520548
29,white_male2,ROUGE_L_F1,0.5810810810810811
29,white_male2,BERT_Precision,0.8320838212966919
29,white_male2,BERT_Recall,0.7718005776405334
29,white_male2,BERT_F1,0.8008093237876892
30,white_male2,ROUGE_1_F1,0.6296296296296297
30,white_male2,ROUGE_2_F1,0.43749999999999994
30,white_male2,ROUGE_L_F1,0.5061728395061729
30,white_male2,BERT_Precision,0.8205698728561401
30,white_male2,BERT_Recall,0.7893891334533691
30,white_male2,BERT_F1,0.8046775460243225
31,white_male2,ROUGE_1_F1,0.6857142857142857
31,white_male2,ROUGE_2_F1,0.42774566473988446
31,white_male2,ROUGE_L_F1,0.5142857142857142
31,white_male2,BERT_Precision,0.8024547100067139
31,white_male2,BERT_Recall,0.8324487209320068
31,white_male2,BERT_F1,0.8171766400337219
32,white_male2,ROUGE_1_F1,0.5
32,white_male2,ROUGE_2_F1,0.17391304347826086
32,white_male2,ROUGE_L_F1,0.32857142857142857
32,white_male2,BERT_Precision,0.7494212985038757
32,white_male2,BERT_Recall,0.7292824983596802
32,white_male2,BERT_F1,0.7392147779464722
33,white_male2,ROUGE_1_F1,0.5866666666666667
33,white_male2,ROUGE_2_F1,0.29729729729729726
33,white_male2,ROUGE_L_F1,0.4
33,white_male2,BERT_Precision,0.8258486986160278
33,white_male2,BERT_Recall,0.8267598152160645
33,white_male2,BERT_F1,0.826304018497467
34,white_male2,ROUGE_1_F1,0.3057324840764331
34,white_male2,ROUGE_2_F1,0.0
34,white_male2,ROUGE_L_F1,0.16560509554140126
34,white_male2,BERT_Precision,0.584133505821228
34,white_male2,BERT_Recall,0.540465772151947
34,white_male2,BERT_F1,0.5614518523216248
35,white_male2,ROUGE_1_F1,0.5454545454545454
35,white_male2,ROUGE_2_F1,0.2
35,white_male2,ROUGE_L_F1,0.31818181818181823
35,white_male2,BERT_Precision,0.7602927684783936
35,white_male2,BERT_Recall,0.73907470703125
35,white_male2,BERT_F1,0.7495335936546326
36,white_male2,ROUGE_1_F1,0.5632183908045977
36,white_male2,ROUGE_2_F1,0.22093023255813954
36,white_male2,ROUGE_L_F1,0.4022988505747126
36,white_male2,BERT_Precision,0.7374675273895264
36,white_male2,BERT_Recall,0.7355685234069824
36,white_male2,BERT_F1,0.7365167737007141
37,white_male2,ROUGE_1_F1,0.6127167630057804
37,white_male2,ROUGE_2_F1,0.3976608187134503
37,white_male2,ROUGE_L_F1,0.4739884393063584
37,white_male2,BERT_Precision,0.7718052864074707
37,white_male2,BERT_Recall,0.7742748856544495
37,white_male2,BERT_F1,0.7730381488800049
38,white_male2,ROUGE_1_F1,0.5207100591715976
38,white_male2,ROUGE_2_F1,0.22754491017964074
38,white_male2,ROUGE_L_F1,0.272189349112426
38,white_male2,BERT_Precision,0.7748646140098572
38,white_male2,BERT_Recall,0.7659614086151123
38,white_male2,BERT_F1,0.7703872919082642
39,white_male2,ROUGE_1_F1,0.552941176470588
39,white_male2,ROUGE_2_F1,0.28571428571428575
39,white_male2,ROUGE_L_F1,0.4
