summary_id,protected_class,score_type,score
19,white_male2,ROUGE_L_F1,0.40196078431372545
19,white_male2,BERT_Precision,0.766474187374115
19,white_male2,BERT_Recall,0.7516158819198608
19,white_male2,BERT_F1,0.7589723467826843
20,white_male2,ROUGE_1_F1,0.6153846153846154
20,white_male2,ROUGE_2_F1,0.40718562874251496
20,white_male2,ROUGE_L_F1,0.5207100591715976
20,white_male2,BERT_Precision,0.8097635507583618
20,white_male2,BERT_Recall,0.8314801454544067
20,white_male2,BERT_F1,0.8204781413078308
21,white_male2,ROUGE_1_F1,0.650887573964497
21,white_male2,ROUGE_2_F1,0.38323353293413176
21,white_male2,ROUGE_L_F1,0.48520710059171596
21,white_male2,BERT_Precision,0.8405484557151794
21,white_male2,BERT_Recall,0.8166993856430054
21,white_male2,BERT_F1,0.8284523487091064
22,white_male2,ROUGE_1_F1,0.6476190476190475
22,white_male2,ROUGE_2_F1,0.3653846153846154
22,white_male2,ROUGE_L_F1,0.4857142857142857
22,white_male2,BERT_Precision,0.8279459476470947
22,white_male2,BERT_Recall,0.832207441329956
22,white_male2,BERT_F1,0.830071210861206
23,white_male2,ROUGE_1_F1,0.68
23,white_male2,ROUGE_2_F1,0.40540540540540543
23,white_male2,ROUGE_L_F1,0.5599999999999999
23,white_male2,BERT_Precision,0.8072496652603149
23,white_male2,BERT_Recall,0.827214241027832
23,white_male2,BERT_F1,0.817110002040863
24,white_male2,ROUGE_1_F1,0.6458333333333334
24,white_male2,ROUGE_2_F1,0.4421052631578947
24,white_male2,ROUGE_L_F1,0.5104166666666666
24,white_male2,BERT_Precision,0.8055551052093506
24,white_male2,BERT_Recall,0.8356692790985107
24,white_male2,BERT_F1,0.8203359246253967
25,white_male2,ROUGE_1_F1,0.6790123456790125
25,white_male2,ROUGE_2_F1,0.46249999999999997
25,white_male2,ROUGE_L_F1,0.5925925925925926
25,white_male2,BERT_Precision,0.8558821678161621
25,white_male2,BERT_Recall,0.8412914276123047
25,white_male2,BERT_F1,0.8485240936279297
26,white_male2,ROUGE_1_F1,0.6242038216560509
26,white_male2,ROUGE_2_F1,0.4129032258064516
26,white_male2,ROUGE_L_F1,0.5477707006369427
26,white_male2,BERT_Precision,0.8536161184310913
26,white_male2,BERT_Recall,0.7995322942733765
26,white_male2,BERT_F1,0.8256894946098328
27,white_male2,ROUGE_1_F1,0.6666666666666667
27,white_male2,ROUGE_2_F1,0.423841059602649
27,white_male2,ROUGE_L_F1,0.522875816993464
27,white_male2,BERT_Precision,0.8715807199478149
27,white_male2,BERT_Recall,0.8196382522583008
27,white_male2,BERT_F1,0.8448118567466736
28,white_male2,ROUGE_1_F1,0.5727699530516431
28,white_male2,ROUGE_2_F1,0.18009478672985782
28,white_male2,ROUGE_L_F1,0.3286384976525822
28,white_male2,BERT_Precision,0.7879782915115356
28,white_male2,BERT_Recall,0.7830540537834167
28,white_male2,BERT_F1,0.7855085134506226
29,white_male2,ROUGE_1_F1,0.6567164179104478
29,white_male2,ROUGE_2_F1,0.271356783919598
29,white_male2,ROUGE_L_F1,0.3880597014925373
29,white_male2,BERT_Precision,0.7423150539398193
29,white_male2,BERT_Recall,0.7678003311157227
29,white_male2,BERT_F1,0.7548426389694214
30,white_male2,ROUGE_1_F1,0.5894736842105264
30,white_male2,ROUGE_2_F1,0.2553191489361702
30,white_male2,ROUGE_L_F1,0.4
30,white_male2,BERT_Precision,0.7585415840148926
30,white_male2,BERT_Recall,0.768629789352417
30,white_male2,BERT_F1,0.7635523676872253
31,white_male2,ROUGE_1_F1,0.6136363636363635
31,white_male2,ROUGE_2_F1,0.2413793103448276
31,white_male2,ROUGE_L_F1,0.30681818181818177
31,white_male2,BERT_Precision,0.7896027565002441
31,white_male2,BERT_Recall,0.7784839272499084
31,white_male2,BERT_F1,0.7840039134025574
32,white_male2,ROUGE_1_F1,0.48826291079812206
32,white_male2,ROUGE_2_F1,0.1990521327014218
32,white_male2,ROUGE_L_F1,0.2816901408450704
32,white_male2,BERT_Precision,0.7342883348464966
32,white_male2,BERT_Recall,0.7301158905029297
32,white_male2,BERT_F1,0.7321961522102356
33,white_male2,ROUGE_1_F1,0.45128205128205134
33,white_male2,ROUGE_2_F1,0.1139896373056995
33,white_male2,ROUGE_L_F1,0.30769230769230776
33,white_male2,BERT_Precision,0.7359880208969116
33,white_male2,BERT_Recall,0.7515233755111694
33,white_male2,BERT_F1,0.7436745762825012
34,white_male2,ROUGE_1_F1,0.6490066225165563
34,white_male2,ROUGE_2_F1,0.3489932885906041
34,white_male2,ROUGE_L_F1,0.4768211920529801
34,white_male2,BERT_Precision,0.8062691688537598
34,white_male2,BERT_Recall,0.7948943972587585
34,white_male2,BERT_F1,0.800541341304779
35,white_male2,ROUGE_1_F1,0.5464480874316939
35,white_male2,ROUGE_2_F1,0.22099447513812154
35,white_male2,ROUGE_L_F1,0.3715846994535519
35,white_male2,BERT_Precision,0.7914164066314697
35,white_male2,BERT_Recall,0.801607608795166
35,white_male2,BERT_F1,0.7964794635772705
36,white_male2,ROUGE_1_F1,0.5888888888888889
36,white_male2,ROUGE_2_F1,0.3932584269662922
36,white_male2,ROUGE_L_F1,0.5333333333333333
36,white_male2,BERT_Precision,0.8158512115478516
36,white_male2,BERT_Recall,0.8062615394592285
36,white_male2,BERT_F1,0.8110280632972717
37,white_male2,ROUGE_1_F1,0.6063829787234042
37,white_male2,ROUGE_2_F1,0.3655913978494624
37,white_male2,ROUGE_L_F1,0.48936170212765956
37,white_male2,BERT_Precision,0.7875742316246033
37,white_male2,BERT_Recall,0.8103054761886597
37,white_male2,BERT_F1,0.798778235912323
38,white_male2,ROUGE_1_F1,0.49214659685863876
38,white_male2,ROUGE_2_F1,0.2328042328042328
38,white_male2,ROUGE_L_F1,0.3664921465968586
38,white_male2,BERT_Precision,0.7262969017028809
38,white_male2,BERT_Recall,0.7342344522476196
38,white_male2,BERT_F1,0.7302441000938416
39,white_male2,ROUGE_1_F1,0.6048780487804879
39,white_male2,ROUGE_2_F1,0.2857142857142857
39,white_male2,ROUGE_L_F1,0.2926829268292683
39,white_male2,BERT_Precision,0.7556703686714172
39,white_male2,BERT_Recall,0.7526126503944397
39,white_male2,BERT_F1,0.7541384100914001
40,white_male2,ROUGE_1_F1,0.49411764705882355
40,white_male2,ROUGE_2_F1,0.13095238095238096
40,white_male2,ROUGE_L_F1,0.28235294117647064
40,white_male2,BERT_Precision,0.7430778741836548
40,white_male2,BERT_Recall,0.7159431576728821
40,white_male2,BERT_F1,0.729258120059967
41,white_male2,ROUGE_1_F1,0.5894736842105263
41,white_male2,ROUGE_2_F1,0.1595744680851064
41,white_male2,ROUGE_L_F1,0.4000000000000001
41,white_male2,BERT_Precision,0.7504812479019165
41,white_male2,BERT_Recall,0.7557828426361084
41,white_male2,BERT_F1,0.7531226873397827
42,white_male2,ROUGE_1_F1,0.6595744680851063
42,white_male2,ROUGE_2_F1,0.4086021505376344
42,white_male2,ROUGE_L_F1,0.5425531914893618
42,white_male2,BERT_Precision,0.867161750793457
42,white_male2,BERT_Recall,0.8512201309204102
42,white_male2,BERT_F1,0.8591169714927673
43,white_male2,ROUGE_1_F1,0.6025641025641025
43,white_male2,ROUGE_2_F1,0.32467532467532473
43,white_male2,ROUGE_L_F1,0.4615384615384615
43,white_male2,BERT_Precision,0.8069114685058594
43,white_male2,BERT_Recall,0.8504166007041931
43,white_male2,BERT_F1,0.8280930519104004
44,white_male2,ROUGE_1_F1,0.5157894736842105
44,white_male2,ROUGE_2_F1,0.14893617021276598
44,white_male2,ROUGE_L_F1,0.3157894736842105
44,white_male2,BERT_Precision,0.7460635900497437
44,white_male2,BERT_Recall,0.73683762550354
44,white_male2,BERT_F1,0.7414219379425049
45,white_male2,ROUGE_1_F1,0.4921465968586387
45,white_male2,ROUGE_2_F1,0.1693121693121693
45,white_male2,ROUGE_L_F1,0.33507853403141363
45,white_male2,BERT_Precision,0.7958841323852539
45,white_male2,BERT_Recall,0.7787449359893799
45,white_male2,BERT_F1,0.7872212529182434
46,white_male2,ROUGE_1_F1,0.524390243902439
46,white_male2,ROUGE_2_F1,0.22222222222222224
46,white_male2,ROUGE_L_F1,0.25609756097560976
46,white_male2,BERT_Precision,0.7624952793121338
46,white_male2,BERT_Recall,0.7705935835838318
46,white_male2,BERT_F1,0.766523003578186
47,white_male2,ROUGE_1_F1,0.5581395348837209
47,white_male2,ROUGE_2_F1,0.2352941176470588
47,white_male2,ROUGE_L_F1,0.3837209302325581
47,white_male2,BERT_Precision,0.8036263585090637
47,white_male2,BERT_Recall,0.7941217422485352
47,white_male2,BERT_F1,0.7988458275794983
48,white_male2,ROUGE_1_F1,0.5555555555555556
48,white_male2,ROUGE_2_F1,0.3551401869158879
48,white_male2,ROUGE_L_F1,0.40740740740740744
48,white_male2,BERT_Precision,0.7871583700180054
48,white_male2,BERT_Recall,0.7698213458061218
48,white_male2,BERT_F1,0.7783933877944946
49,white_male2,ROUGE_1_F1,0.5047619047619049
49,white_male2,ROUGE_2_F1,0.2403846153846154
49,white_male2,ROUGE_L_F1,0.37142857142857144
49,white_male2,BERT_Precision,0.7437372207641602
49,white_male2,BERT_Recall,0.7755827903747559
49,white_male2,BERT_F1,0.7593262791633606
50,white_male2,ROUGE_1_F1,0.507936507936508
50,white_male2,ROUGE_2_F1,0.1711229946524064
50,white_male2,ROUGE_L_F1,0.29629629629629634
50,white_male2,BERT_Precision,0.7386047840118408
50,white_male2,BERT_Recall,0.7104375958442688
50,white_male2,BERT_F1,0.7242474555969238
51,white_male2,ROUGE_1_F1,0.5076142131979695
51,white_male2,ROUGE_2_F1,0.22564102564102564
51,white_male2,ROUGE_L_F1,0.3451776649746193
51,white_male2,BERT_Precision,0.6800662875175476
51,white_male2,BERT_Recall,0.746361494064331
51,white_male2,BERT_F1,0.7116732597351074
52,white_male2,ROUGE_1_F1,0.5621621621621621
52,white_male2,ROUGE_2_F1,0.22950819672131148
52,white_male2,ROUGE_L_F1,0.34594594594594597
52,white_male2,BERT_Precision,0.7886503338813782
52,white_male2,BERT_Recall,0.7755329608917236
52,white_male2,BERT_F1,0.7820366621017456
53,white_male2,ROUGE_1_F1,0.5524861878453039
53,white_male2,ROUGE_2_F1,0.1452513966480447
53,white_male2,ROUGE_L_F1,0.3867403314917128
53,white_male2,BERT_Precision,0.7554947733879089
53,white_male2,BERT_Recall,0.7616468071937561
53,white_male2,BERT_F1,0.7585583329200745
54,white_male2,ROUGE_1_F1,0.6378378378378379
54,white_male2,ROUGE_2_F1,0.24043715846994537
54,white_male2,ROUGE_L_F1,0.3567567567567568
54,white_male2,BERT_Precision,0.7667350769042969
54,white_male2,BERT_Recall,0.7773232460021973
54,white_male2,BERT_F1,0.7719928026199341
55,white_male2,ROUGE_1_F1,0.6
55,white_male2,ROUGE_2_F1,0.35714285714285715
55,white_male2,ROUGE_L_F1,0.49411764705882355
55,white_male2,BERT_Precision,0.8397789001464844
55,white_male2,BERT_Recall,0.809087872505188
55,white_male2,BERT_F1,0.8241477608680725
56,white_male2,ROUGE_1_F1,0.6376811594202898
56,white_male2,ROUGE_2_F1,0.4195121951219512
56,white_male2,ROUGE_L_F1,0.47342995169082125
56,white_male2,BERT_Precision,0.7975146174430847
56,white_male2,BERT_Recall,0.7871224880218506
56,white_male2,BERT_F1,0.7922844290733337
57,white_male2,ROUGE_1_F1,0.5402298850574713
57,white_male2,ROUGE_2_F1,0.22093023255813954
57,white_male2,ROUGE_L_F1,0.3793103448275863
57,white_male2,BERT_Precision,0.7706260681152344
57,white_male2,BERT_Recall,0.757343053817749
57,white_male2,BERT_F1,0.7639268040657043
58,white_male2,ROUGE_1_F1,0.5416666666666666
58,white_male2,ROUGE_2_F1,0.17894736842105263
58,white_male2,ROUGE_L_F1,0.3229166666666667
58,white_male2,BERT_Precision,0.7589024901390076
58,white_male2,BERT_Recall,0.7810280323028564
58,white_male2,BERT_F1,0.7698063254356384
59,white_male2,ROUGE_1_F1,0.5381165919282512
59,white_male2,ROUGE_2_F1,0.2081447963800905
59,white_male2,ROUGE_L_F1,0.33183856502242154
59,white_male2,BERT_Precision,0.7138903141021729
59,white_male2,BERT_Recall,0.6980493068695068
59,white_male2,BERT_F1,0.7058809399604797
60,white_male2,ROUGE_1_F1,0.5227272727272726
60,white_male2,ROUGE_2_F1,0.19540229885057472
60,white_male2,ROUGE_L_F1,0.36363636363636365
60,white_male2,BERT_Precision,0.742436408996582
60,white_male2,BERT_Recall,0.7412097454071045
60,white_male2,BERT_F1,0.7418225407600403
61,white_male2,ROUGE_1_F1,0.5000000000000001
61,white_male2,ROUGE_2_F1,0.12087912087912088
61,white_male2,ROUGE_L_F1,0.2717391304347826
61,white_male2,BERT_Precision,0.7439973950386047
61,white_male2,BERT_Recall,0.7238419055938721
61,white_male2,BERT_F1,0.7337812781333923
62,white_male2,ROUGE_1_F1,0.5689655172413793
62,white_male2,ROUGE_2_F1,0.30434782608695654
62,white_male2,ROUGE_L_F1,0.43103448275862066
62,white_male2,BERT_Precision,0.7900943756103516
62,white_male2,BERT_Recall,0.7851497530937195
62,white_male2,BERT_F1,0.7876142859458923
63,white_male2,ROUGE_1_F1,0.6601941747572816
63,white_male2,ROUGE_2_F1,0.3137254901960784
63,white_male2,ROUGE_L_F1,0.5048543689320388
63,white_male2,BERT_Precision,0.8184071779251099
63,white_male2,BERT_Recall,0.8339295983314514
63,white_male2,BERT_F1,0.826095461845398
64,white_male2,ROUGE_1_F1,0.5686274509803921
64,white_male2,ROUGE_2_F1,0.2079207920792079
64,white_male2,ROUGE_L_F1,0.4019607843137255
64,white_male2,BERT_Precision,0.7740684747695923
64,white_male2,BERT_Recall,0.7977073192596436
64,white_male2,BERT_F1,0.7857101559638977
65,white_male2,ROUGE_1_F1,0.5363128491620112
65,white_male2,ROUGE_2_F1,0.2937853107344633
65,white_male2,ROUGE_L_F1,0.3687150837988827
65,white_male2,BERT_Precision,0.8103971481323242
65,white_male2,BERT_Recall,0.7628268003463745
65,white_male2,BERT_F1,0.7858927845954895
66,white_male2,ROUGE_1_F1,0.6133333333333333
66,white_male2,ROUGE_2_F1,0.37668161434977576
66,white_male2,ROUGE_L_F1,0.47111111111111115
66,white_male2,BERT_Precision,0.8132383823394775
66,white_male2,BERT_Recall,0.7939786314964294
